[2024-10-10 02:36:26,669: INFO: main: Welcome to our custom log]
[2024-10-14 09:51:24,668: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-14 09:51:24,668: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-14 09:51:24,674: INFO: common: created directory at: artifacts]
[2024-10-14 09:51:24,676: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-14 09:51:24,676: INFO: 1198589705: Downloading data from https://drive.google.com/file/d/1GFqiSugSMBLKLcIfeyy6F7jB7X0At5Xu/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-14 09:52:15,181: INFO: 1198589705: Downloaded data from https://drive.google.com/file/d/1GFqiSugSMBLKLcIfeyy6F7jB7X0At5Xu/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-14 10:36:34,653: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-14 10:36:34,653: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-14 10:36:34,653: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-14 10:36:34,653: INFO: common: created directory at: artifacts]
[2024-10-14 10:36:34,653: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-14 10:36:34,661: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1GFqiSugSMBLKLcIfeyy6F7jB7X0At5Xu/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-14 10:37:02,042: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1GFqiSugSMBLKLcIfeyy6F7jB7X0At5Xu/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-14 10:37:02,623: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2024-10-14 16:13:49,928: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-10-14 16:13:49,928: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-10-14 16:13:49,928: INFO: common: yaml file: params.yaml loaded successfully]
[2024-10-14 16:13:49,928: INFO: common: created directory at: artifacts]
[2024-10-14 16:13:49,928: INFO: common: created directory at: artifacts/data_ingestion]
[2024-10-14 16:13:49,928: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1GFqiSugSMBLKLcIfeyy6F7jB7X0At5Xu/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-14 16:14:00,926: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1GFqiSugSMBLKLcIfeyy6F7jB7X0At5Xu/view?usp=drive_link into file artifacts/data_ingestion/data.zip]
[2024-10-14 16:14:01,411: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
